[timestamp] {imbalance_prev, dS_prev, imbalance_curr}. Buy/Sell price (timestamp). [Asset, Cash]
[34593200] {2, -100, 2}. Sell at 35.57 (34593199). [-5, 177.06].
[34594200] {1, -100, 1}. Sell at 35.56 (34594133). [-6, 212.62].
[34594500] {1, -100, 1}. Sell at 35.57 (34594440). [-7, 248.19].
[34595700] {3, 100, 3}.   Buy at 35.62 (34595675). [-6, 212.57].
[34624700] {1, -100, 1}. Sell at 35.57 (34624695). [-7, 248.14].
[34625400] {2, -100, 2}. Sell at 35.56 (34625346). [-8, 283.70].
[34627400] {2, -100, 2}. Sell at 35.56 (34627356). [-9, 319.26].
[34638800] {3, -100, 3}. Sell at 35.55 (34638794). [-10, 354.81].
[34745400] {1, -100, 1}. Sell at 35.51 (34745370). [-11, 390.32].
[34750500] {3, 100, 3}.   Buy at 35.55 (34750492). [-10, 354.77].
[34797000] {1, -100, 1}. Sell at 35.53 (34796945). [-11, 390.30].
[34817000] {2, 100, 2}.   Buy at 35.55 (34816955). [-10, 354.75].
[34866900] {2, -100, 2}. Sell at 35.51 (34866842). [-11, 390.26].
[34910300] {3, 100, 3}.   Buy at 35.53 (34910296). [-10, 354.73].
[34917300] {1, 200, 1}.   Buy at 35.54 (34917253). [-9, 319.19].
[34935300] {2, -200, 2}. Sell at 35.54 (34935300). [-10, 354.73].
[34939400] {2, -100, 2}. Sell at 35.55 (34939388). [-11, 390.28].
[35017900] {3, 100, 3}.   Buy at 35.57 (35017878). [-10, 354.71].
[35023500] {3, 200, 3}.   Buy at 35.59 (35023496). [-9, 319.12].
[35024900] {3, -100, 3}. Sell at 35.57 (35024873). [-10, 354.69].
[35026000] {2, 200, 2}.   Buy at 35.60 (35025978). [-9, 319.09].
[35026600] {1, -100, 1}. Sell at 35.58 (35026600). [-10, 354.67].
[35026700] {1, 200, 1}.   Buy at 35.62 (35026674). [-9, 319.05].
[35026800] {1, -100, 1}. Sell at 35.59 (35026780). [-10, 354.64].
[35026900] {1, -100, 1}. Sell at 35.57 (35026895). [-11, 390.21].
[35027900] {2, 200, 2}.   Buy at 35.62 (35027900). [-10, 354.59].
[35041100] {1, 100, 1}.   Buy at 35.62 (35041065). [-9, 318.97].
[35053800] {2, -200, 2}. Sell at 35.58 (35053765). [-10, 354.55].
[35067700] {1, -100, 1}. Sell at 35.54 (35067672). [-11, 390.09].
[35097800] {2, 100, 2}.   Buy at 35.56 (35097800). [-10, 354.53].
[35103700] {2, -100, 2}. Sell at 35.54 (35103700). [-11, 390.07].
[35104100] {1, -100, 1}. Sell at 35.53 (35104011). [-12, 425.60].
[35113900] {2, -100, 2}. Sell at 35.55 (35113900). [-13, 461.15].
[35117100] {2, -100, 2}. Sell at 35.56 (35117064). [-14, 496.71].
[35117300] {3, -100, 3}. Sell at 35.56 (35117264). [-15, 532.27].
[35117400] {3, 100, 3}.   Buy at 35.58 (35117367). [-14, 496.69].
[35117500] {3, -100, 3}. Sell at 35.56 (35117485). [-15, 532.25].
[35117600] {3, 100, 3}.   Buy at 35.58 (35117588). [-14, 496.67].
[35117800] {3, -100, 3}. Sell at 35.56 (35117797). [-15, 532.23].
[35119800] {3, -100, 3}. Sell at 35.57 (35119793). [-16, 567.80].
[35124300] {2, -100, 2}. Sell at 35.58 (35124297). [-17, 603.38].
[35140400] {1, -100, 1}. Sell at 35.56 (35140396). [-18, 638.94].
[35140600] {2, -100, 2}. Sell at 35.55 (35140543). [-19, 674.49].
[35166100] {3, 100, 3}.   Buy at 35.58 (35166062). [-18, 638.91].
[35174400] {2, -100, 2}. Sell at 35.57 (35174396). [-19, 674.48].
[35181900] {2, 100, 2}.   Buy at 35.61 (35181825). [-18, 638.87].
[35226700] {3, -100, 3}. Sell at 35.56 (35226697). [-19, 674.43].
[35242700] {3, 100, 3}.   Buy at 35.59 (35242677). [-18, 638.84].
[35246200] {1, -100, 1}. Sell at 35.59 (35246182). [-19, 674.43].
[35246600] {2, 100, 2}.   Buy at 35.61 (35246590). [-18, 638.82].
[35257700] {2, 100, 2}.   Buy at 35.62 (35257687). [-17, 603.20].
[35291200] {3, 100, 3}.   Buy at 35.63 (35291194). [-16, 567.57].
[35320100] {3, 200, 3}.   Buy at 35.67 (35320098). [-15, 531.90].
[35331600] {2, 100, 2}.   Buy at 35.70 (35331599). [-14, 496.20].
[35339500] {2, -100, 2}. Sell at 35.70 (35339421). [-15, 531.90].
[35345800] {3, 100, 3}.   Buy at 35.73 (35345748). [-14, 496.17].
[35358900] {3, 100, 3}.   Buy at 35.73 (35358900). [-13, 460.44].
[35369600] {3, -100, 3}. Sell at 35.71 (35369538). [-14, 496.15].
[35417900] {2, -100, 2}. Sell at 35.68 (35417887). [-15, 531.83].
[35420100] {3, 100, 3}.   Buy at 35.68 (35420039). [-14, 496.15].
[35437100] {3, 100, 3}.   Buy at 35.69 (35437054). [-13, 460.46].
[35442900] {2, -100, 2}. Sell at 35.68 (35442869). [-14, 496.14].
[35448000] {2, 100, 2}.   Buy at 35.71 (35447969). [-13, 460.43].
[35449000] {2, 100, 2}.   Buy at 35.72 (35448988). [-12, 424.71].
[35458500] {2, 100, 2}.   Buy at 35.73 (35458452). [-11, 388.98].
[35467800] {2, -100, 2}. Sell at 35.71 (35467762). [-12, 424.69].
[35509900] {2, -100, 2}. Sell at 35.69 (35509900). [-13, 460.38].
[35510100] {2, -100, 2}. Sell at 35.68 (35510052). [-14, 496.06].
[35512900] {2, -200, 2}. Sell at 35.66 (35512896). [-15, 531.72].
[35522400] {3, -100, 3}. Sell at 35.65 (35522399). [-16, 567.37].
[35540700] {3, -100, 3}. Sell at 35.62 (35540698). [-17, 602.99].
[35569700] {1, -100, 1}. Sell at 35.62 (35569680). [-18, 638.61].
[35579700] {2, -100, 2}. Sell at 35.60 (35579688). [-19, 674.21].
[35581700] {2, -100, 2}. Sell at 35.60 (35581700). [-20, 709.81].
[35605500] {3, 100, 3}.   Buy at 35.62 (35605449). [-19, 674.19].
[35608900] {3, 100, 3}.   Buy at 35.63 (35608893). [-18, 638.56].
[35609700] {3, 100, 3}.   Buy at 35.63 (35609644). [-17, 602.93].
[35610900] {3, 100, 3}.   Buy at 35.64 (35610879). [-16, 567.29].
[35616600] {3, -100, 3}. Sell at 35.60 (35616589). [-17, 602.89].
[35621600] {3, 100, 3}.   Buy at 35.63 (35621541). [-16, 567.26].
[35643100] {2, 100, 2}.   Buy at 35.65 (35643100). [-15, 531.61].
[35671400] {3, -200, 3}. Sell at 35.63 (35671384). [-16, 567.24].
[35672000] {3, 100, 3}.   Buy at 35.65 (35671975). [-15, 531.59].
[35710600] {2, 100, 2}.   Buy at 35.68 (35710600). [-14, 495.91].
[35710700] {2, -100, 2}. Sell at 35.66 (35710663). [-15, 531.57].
[35716000] {2, -100, 2}. Sell at 35.65 (35715988). [-16, 567.22].
[35738100] {3, 100, 3}.   Buy at 35.67 (35738100). [-15, 531.55].
[35770500] {2, -200, 2}. Sell at 35.66 (35770488). [-16, 567.21].
[35831800] {3, -100, 3}. Sell at 35.66 (35831796). [-17, 602.87].
[35929100] {3, 100, 3}.   Buy at 35.68 (35929040). [-16, 567.19].
[35940100] {3, 100, 3}.   Buy at 35.69 (35940076). [-15, 531.50].
[35956300] {3, -100, 3}. Sell at 35.67 (35956300). [-16, 567.17].
[35971800] {2, -100, 2}. Sell at 35.66 (35971740). [-17, 602.83].
[35989300] {3, 200, 3}.   Buy at 35.71 (35989291). [-16, 567.12].
[35996800] {2, -100, 2}. Sell at 35.71 (35996737). [-17, 602.83].
[36061100] {3, 100, 3}.   Buy at 35.71 (36061099). [-16, 567.12].
[36075200] {2, 100, 2}.   Buy at 35.75 (36075200). [-15, 531.37].
[36075400] {2, 100, 2}.   Buy at 35.76 (36075376). [-14, 495.61].
[36078500] {3, 100, 3}.   Buy at 35.78 (36078497). [-13, 459.83].
[36078900] {3, 100, 3}.   Buy at 35.79 (36078859). [-12, 424.04].
[36083200] {3, -100, 3}. Sell at 35.76 (36083197). [-13, 459.80].
