[timestamp] {imbalance_prev, dS_prev, imbalance_curr}. Buy/Sell price (timestamp). [Asset, Cash]
[34318500] {1, 700, 1}.   Buy at 898.26 (34318459). [27, -24247.16].
[34318900] {1, 200, 1}.   Buy at 898.48 (34318899). [28, -25145.64].
[34319300] {1, 100, 1}.   Buy at 898.48 (34319252). [29, -26044.12].
[34319700] {1, 100, 1}.   Buy at 898.48 (34319698). [30, -26942.60].
[34320100] {1, 1100, 1}.   Buy at 898.48 (34320062). [31, -27841.08].
[34320300] {1, 300, 1}.   Buy at 898.48 (34320262). [32, -28739.56].
[34321600] {1, 100, 1}.   Buy at 898.50 (34321558). [33, -29638.06].
[34321700] {1, -100, 1}. Sell at 898.32 (34321684). [32, -28739.74].
[34321800] {1, 200, 1}.   Buy at 898.50 (34321777). [33, -29638.24].
[34322500] {1, 600, 1}.   Buy at 898.62 (34322428). [34, -30536.86].
[34325500] {2, -2100, 2}. Sell at 898.43 (34325500). [33, -29638.43].
[34327600] {2, 1000, 2}.   Buy at 898.78 (34327575). [34, -30537.21].
[34327800] {2, 100, 2}.   Buy at 898.78 (34327769). [35, -31435.99].
[34327900] {2, -100, 2}. Sell at 898.64 (34327880). [34, -30537.35].
[34328100] {2, 200, 2}.   Buy at 898.78 (34328070). [35, -31436.13].
[34328500] {1, 200, 1}.   Buy at 898.78 (34328460). [36, -32334.91].
[34329800] {3, 1200, 3}.   Buy at 898.88 (34329717). [37, -33233.79].
[34330200] {1, 100, 1}.   Buy at 898.99 (34330180). [38, -34132.78].
[34331300] {2, 100, 2}.   Buy at 898.92 (34331262). [39, -35031.70].
[34331600] {1, 100, 1}.   Buy at 899.00 (34331596). [40, -35930.70].
[34331900] {1, -100, 1}. Sell at 898.78 (34331899). [39, -35031.92].
[34332400] {1, 100, 1}.   Buy at 899.00 (34332350). [40, -35930.92].
[34333100] {1, 300, 1}.   Buy at 899.00 (34333063). [41, -36829.92].
[34337300] {1, 100, 1}.   Buy at 899.00 (34337289). [42, -37728.92].
[34337800] {1, -100, 1}. Sell at 898.82 (34337766). [41, -36830.10].
[34338000] {3, 200, 3}.   Buy at 899.29 (34337991). [42, -37729.39].
[34338400] {1, 1300, 1}.   Buy at 899.11 (34338392). [43, -38628.50].
[34338900] {1, 2200, 1}.   Buy at 899.11 (34338891). [44, -39527.61].
[34339700] {2, 400, 2}.   Buy at 899.11 (34339616). [45, -40426.72].
[34344100] {3, 100, 3}.   Buy at 899.29 (34344065). [46, -41326.01].
[34346000] {3, 1200, 3}.   Buy at 899.29 (34345992). [47, -42225.30].
[34346200] {3, 100, 3}.   Buy at 899.30 (34346192). [48, -43124.60].
[34350000] {3, 1600, 3}.   Buy at 899.25 (34349983). [49, -44023.85].
[34350600] {1, 600, 1}.   Buy at 899.22 (34350582). [50, -44923.07].
[34350700] {1, 600, 1}.   Buy at 899.19 (34350690). [51, -45822.26].
[34351700] {3, -200, 3}. Sell at 899.01 (34351679). [50, -44923.25].
[34353300] {3, 600, 3}.   Buy at 899.25 (34353263). [51, -45822.50].
[34353500] {3, 300, 3}.   Buy at 899.25 (34353448). [52, -46721.75].
[34353700] {3, 100, 3}.   Buy at 899.25 (34353641). [53, -47621.00].
[34360000] {3, -1400, 3}. Sell at 898.64 (34359992). [52, -46722.36].
[34360500] {3, -100, 3}. Sell at 898.64 (34360500). [51, -45823.72].
[34365300] {2, -100, 2}. Sell at 898.64 (34365274). [50, -44925.08].
[34368100] {2, 100, 2}.   Buy at 898.94 (34368089). [51, -45824.02].
[34371400] {1, 100, 1}.   Buy at 899.00 (34371375). [52, -46723.02].
[34372000] {1, -300, 1}. Sell at 898.65 (34371948). [51, -45824.37].
[34375200] {3, -1000, 3}. Sell at 898.55 (34375191). [50, -44925.82].
[34377700] {3, -2800, 3}. Sell at 898.13 (34377651). [49, -44027.69].
[34381900] {2, -1300, 2}. Sell at 898.00 (34381900). [48, -43129.69].
