[timestamp] {imbalance_prev, dS_prev, imbalance_curr}. Buy/Sell price (timestamp). [Asset, Cash]
[38772800] {4, 200, 4}.   Buy at 35.63 (38772781). [19, -677.76].
[38773800] {4, 200, 4}.   Buy at 35.64 (38773799). [20, -713.40].
[38843300] {4, 100, 4}.   Buy at 35.67 (38843269). [21, -749.07].
[38843900] {4, 200, 4}.   Buy at 35.67 (38843857). [22, -784.74].
[38848300] {4, -200, 4}. Sell at 35.46 (38848274). [21, -749.28].
[38894000] {3, -100, 3}. Sell at 35.48 (38893936). [20, -713.80].
[38989100] {2, -200, 2}. Sell at 35.45 (38989094). [19, -678.35].
[38989200] {2, 200, 2}.   Buy at 35.66 (38989196). [20, -714.01].
[39038400] {3, 200, 3}.   Buy at 35.67 (39038344). [21, -749.68].
[39061800] {4, -100, 4}. Sell at 35.51 (39061731). [20, -714.17].
[39283000] {4, -200, 4}. Sell at 35.50 (39282929). [19, -678.67].
[39411800] {4, 100, 4}.   Buy at 35.76 (39411724). [20, -714.43].
[39457800] {3, -100, 3}. Sell at 35.58 (39457773). [19, -678.85].
[39462500] {1, -200, 1}. Sell at 35.60 (39462441). [18, -643.25].
[39713100] {3, 300, 3}.   Buy at 35.69 (39713100). [19, -678.94].
[39728200] {3, 300, 3}.   Buy at 35.70 (39728116). [20, -714.64].
[39733000] {2, -100, 2}. Sell at 35.54 (39732965). [19, -679.10].
[39748300] {1, -100, 1}. Sell at 35.57 (39748281). [18, -643.53].
[40153200] {4, 200, 4}.   Buy at 35.75 (40153193). [19, -679.28].
[40159500] {3, -400, 3}. Sell at 35.58 (40159456). [18, -643.70].
[40545200] {4, -100, 4}. Sell at 35.69 (40545183). [17, -608.01].
[40548200] {4, 200, 4}.   Buy at 35.84 (40548167). [18, -643.85].
[40599800] {3, 300, 3}.   Buy at 35.81 (40599713). [19, -679.66].
[40800600] {3, 200, 3}.   Buy at 35.82 (40800598). [20, -715.48].
[40921400] {3, -200, 3}. Sell at 35.71 (40921351). [19, -679.77].
[41316000] {2, -200, 2}. Sell at 35.73 (41315983). [18, -644.04].
[41492400] {1, 200, 1}.   Buy at 35.91 (41492396). [19, -679.95].
[41512600] {3, 100, 3}.   Buy at 35.83 (41512594). [20, -715.78].
[41513100] {3, 100, 3}.   Buy at 35.84 (41513059). [21, -751.62].
[41556200] {2, 600, 2}.   Buy at 35.91 (41556108). [22, -787.53].
[41632000] {2, 100, 2}.   Buy at 35.92 (41631988). [23, -823.45].
[41885000] {4, -100, 4}. Sell at 35.85 (41884985). [22, -787.60].
[42066300] {2, -100, 2}. Sell at 35.84 (42066278). [21, -751.76].
[43136200] {3, 100, 3}.   Buy at 36.00 (43136142). [22, -787.76].
[43185200] {4, 200, 4}.   Buy at 35.97 (43185199). [23, -823.73].
[43476200] {4, 100, 4}.   Buy at 35.99 (43476135). [24, -859.72].
[43569100] {3, -100, 3}. Sell at 35.95 (43569027). [23, -823.77].
[43569800] {3, -100, 3}. Sell at 35.95 (43569713). [22, -787.82].
[43570000] {3, -100, 3}. Sell at 35.95 (43569961). [21, -751.87].
