[timestamp] {imbalance_prev, dS_prev, imbalance_curr}. Buy/Sell price (timestamp). [Asset, Cash]
[38658900] {1, 400, 1}.   Buy at 35.66 (38658811). [19, -677.67].
[38662914] {1, 0, 1}. MO sell arrived. Buy at 35.65 (38662914). [20, -713.32].
[38663000] {1, -100, 1}. Sell at 35.44 (38662937). [19, -677.88].
[38668200] {1, -400, 1}. Sell at 35.44 (38668200). [18, -642.44].
[38704200] {1, -400, 1}. Sell at 35.44 (38704141). [17, -607.00].
[38704400] {1, 400, 1}.   Buy at 35.64 (38704315). [18, -642.64].
[38712200] {1, -400, 1}. Sell at 35.44 (38712137). [17, -607.20].
[38716200] {1, -400, 1}. Sell at 35.40 (38716168). [16, -571.80].
[38725800] {4, 100, 4}.   Buy at 35.63 (38725767). [17, -607.43].
[38726200] {4, -100, 4}. Sell at 35.42 (38726188). [16, -572.01].
[38726800] {4, -100, 4}. Sell at 35.42 (38726772). [15, -536.59].
[38728500] {4, 100, 4}.   Buy at 35.62 (38728496). [16, -572.21].
[38772800] {4, 200, 4}.   Buy at 35.63 (38772781). [17, -607.84].
[38773796] {4, 200, 4}. MO buy arrived. Sell at 35.48 (38773796). [16, -572.36].
[38773800] {4, 200, 4}.   Buy at 35.64 (38773799). [17, -608.00].
[38843265] {4, 100, 4}. MO buy arrived. Sell at 35.47 (38843265). [16, -572.53].
[38843300] {4, 100, 4}.   Buy at 35.67 (38843269). [17, -608.20].
[38843900] {4, 200, 4}.   Buy at 35.67 (38843857). [18, -643.87].
[38848300] {4, -200, 4}. Sell at 35.46 (38848274). [17, -608.41].
[38894000] {3, -100, 3}. Sell at 35.48 (38893936). [16, -572.93].
[38989100] {2, -200, 2}. Sell at 35.45 (38989094). [15, -537.48].
[38989200] {2, 200, 2}.   Buy at 35.66 (38989196). [16, -573.14].
[39038400] {3, 200, 3}.   Buy at 35.67 (39038344). [17, -608.81].
[39061800] {4, -100, 4}. Sell at 35.51 (39061731). [16, -573.30].
[39283000] {4, -200, 4}. Sell at 35.50 (39282929). [15, -537.80].
[39411718] {4, 0, 4}. MO buy arrived. Sell at 35.54 (39411718). [14, -502.26].
[39411800] {4, 100, 4}.   Buy at 35.76 (39411724). [15, -538.02].
[39457800] {3, -100, 3}. Sell at 35.58 (39457773). [14, -502.44].
[39462249] {3, 200, 4}. MO buy arrived. Sell at 35.61 (39462249). [13, -466.83].
[39462500] {1, -200, 1}. Sell at 35.60 (39462441). [12, -431.23].
[39501401] {1, 0, 4}. MO buy arrived. Sell at 35.60 (39501401). [11, -395.63].
[39707090] {1, -300, 4}. MO sell arrived. Buy at 35.70 (39707090). [12, -431.33].
[39713100] {3, 300, 3}.   Buy at 35.69 (39713100). [13, -467.02].
[39721056] {3, 0, 1}. MO buy arrived. Sell at 35.51 (39721056). [12, -431.51].
[39728200] {3, 300, 3}.   Buy at 35.70 (39728116). [13, -467.21].
[39733000] {2, -100, 2}. Sell at 35.54 (39732965). [12, -431.67].
[39748300] {1, -100, 1}. Sell at 35.57 (39748281). [11, -396.10].
[40153200] {4, 200, 4}.   Buy at 35.75 (40153193). [12, -431.85].
