[timestamp] {imbalance_prev, dS_prev, imbalance_curr}. Buy/Sell price (timestamp). [Asset, Cash]
[39362000] {3, -100, 3}. Sell at 33.99 (39362000). [3, -104.34].
[39370800] {3, 100, 3}.   Buy at 34.03 (39370740). [4, -138.37].
[39406000] {2, -100, 2}. Sell at 34.00 (39405976). [3, -104.37].
[39443200] {3, 100, 3}.   Buy at 34.01 (39443181). [4, -138.38].
[39468000] {1, -100, 1}. Sell at 33.99 (39467994). [3, -104.39].
[39528400] {1, -100, 1}. Sell at 33.98 (39528314). [2, -70.41].
[39568400] {1, -100, 1}. Sell at 33.96 (39568357). [1, -36.45].
[39576800] {3, 100, 3}.   Buy at 33.97 (39576761). [2, -70.42].
[39579600] {3, 100, 3}.   Buy at 33.98 (39579598). [3, -104.40].
[39590400] {2, 100, 2}.   Buy at 33.98 (39590311). [4, -138.38].
[39592400] {3, 200, 3}.   Buy at 34.01 (39592397). [5, -172.39].
[39712000] {3, 100, 3}.   Buy at 34.02 (39711935). [6, -206.41].
[39726800] {4, 100, 4}.   Buy at 34.03 (39726784). [7, -240.44].
[39756000] {2, -100, 2}. Sell at 34.03 (39755957). [6, -206.41].
[39785200] {2, 100, 2}.   Buy at 34.04 (39785200). [7, -240.45].
[40140800] {3, 100, 3}.   Buy at 34.07 (40140795). [8, -274.52].
[40141200] {3, 100, 3}.   Buy at 34.07 (40141190). [9, -308.59].
[40159600] {2, -100, 2}. Sell at 34.04 (40159559). [8, -274.55].
[40328400] {3, -100, 3}. Sell at 34.07 (40328317). [7, -240.48].
[40352800] {2, -100, 2}. Sell at 34.06 (40352724). [6, -206.42].
[40378400] {2, 100, 2}.   Buy at 34.08 (40378392). [7, -240.50].
[40493600] {2, -100, 2}. Sell at 34.07 (40493600). [6, -206.43].
[40498800] {2, -100, 2}. Sell at 34.06 (40498797). [5, -172.37].
[40524400] {3, 100, 3}.   Buy at 34.09 (40524354). [6, -206.46].
[40528400] {1, -100, 1}. Sell at 34.08 (40528398). [5, -172.38].
[40657600] {3, 100, 3}.   Buy at 34.08 (40657589). [6, -206.46].
[40710800] {1, -100, 1}. Sell at 34.07 (40710784). [5, -172.39].
[40782400] {2, 100, 2}.   Buy at 34.08 (40782392). [6, -206.47].
[40854000] {1, -100, 1}. Sell at 34.07 (40853998). [5, -172.40].
[40916400] {3, 100, 3}.   Buy at 34.08 (40916376). [6, -206.48].
[41232800] {2, -100, 2}. Sell at 34.03 (41232786). [5, -172.45].
[41353600] {2, 100, 2}.   Buy at 34.06 (41353506). [6, -206.51].
[41355200] {2, -100, 2}. Sell at 34.04 (41355200). [5, -172.47].
[41356800] {2, -100, 2}. Sell at 34.03 (41356735). [4, -138.44].
[41362800] {2, -100, 2}. Sell at 34.03 (41362781). [3, -104.41].
[41427200] {3, 100, 3}.   Buy at 34.03 (41427200). [4, -138.44].
