[timestamp] {imbalance_prev, dS_prev, imbalance_curr}. Buy/Sell price (timestamp). [Asset, Cash]
[41563200] {3, -100, 3}. Sell at 34.02 (41563182). [3, -103.30].
[41611200] {1, -100, 1}. Sell at 34.02 (41611167). [2, -69.28].
[41655200] {3, 100, 3}.   Buy at 34.04 (41655192). [3, -103.32].
[41715200] {2, -100, 2}. Sell at 34.03 (41715156). [2, -69.29].
[41740800] {2, 100, 2}.   Buy at 34.04 (41740624). [3, -103.33].
[41758000] {2, -100, 2}. Sell at 34.03 (41758000). [2, -69.30].
[41829600] {1, -100, 1}. Sell at 34.02 (41829579). [1, -35.28].
[41978800] {4, 100, 4}.   Buy at 34.06 (41978769). [2, -69.34].
[42012000] {3, -100, 3}. Sell at 34.05 (42011953). [1, -35.29].
[42080400] {4, 100, 4}.   Buy at 34.04 (42080355). [2, -69.33].
[42281200] {3, -100, 3}. Sell at 34.02 (42281189). [1, -35.31].
[42461600] {2, 100, 2}.   Buy at 34.01 (42461507). [2, -69.32].
[42639200] {1, -100, 1}. Sell at 33.99 (42639166). [1, -35.33].
[42717200] {2, -100, 2}. Sell at 34.02 (42717169). [0, -1.31].
[42737200] {3, 100, 3}.   Buy at 34.03 (42737177). [1, -35.34].
[42808000] {4, 100, 4}.   Buy at 34.02 (42807990). [2, -69.36].
[43046000] {3, 100, 3}.   Buy at 34.02 (43045975). [3, -103.38].
[43119600] {2, -100, 2}. Sell at 34.02 (43119600). [2, -69.36].
[43139600] {2, -100, 2}. Sell at 34.03 (43139562). [1, -35.33].
[43214400] {2, -100, 2}. Sell at 34.02 (43214389). [0, -1.31].
[43331600] {3, 100, 3}.   Buy at 34.03 (43331580). [1, -35.34].
[43348000] {3, 100, 3}.   Buy at 34.04 (43347990). [2, -69.38].
[43443600] {3, 100, 3}.   Buy at 34.02 (43443585). [3, -103.40].
[43489200] {3, 100, 3}.   Buy at 34.02 (43489196). [4, -137.42].
[43594800] {2, 100, 2}.   Buy at 34.04 (43594796). [5, -171.46].
[43618800] {3, 100, 3}.   Buy at 34.01 (43618534). [6, -205.47].
[43687600] {3, 100, 3}.   Buy at 34.01 (43687597). [7, -239.48].
[43740800] {3, 100, 3}.   Buy at 34.03 (43740755). [8, -273.51].
[43748400] {3, -100, 3}. Sell at 34.02 (43748397). [7, -239.49].
[43752800] {2, -100, 2}. Sell at 34.01 (43752770). [6, -205.48].
[43862400] {2, -100, 2}. Sell at 34.01 (43862399). [5, -171.47].
[44062400] {3, 100, 3}.   Buy at 34.02 (44062383). [6, -205.49].
[44149200] {2, -100, 2}. Sell at 34.01 (44149166). [5, -171.48].
[44298800] {3, 100, 3}.   Buy at 34.01 (44298798). [6, -205.49].
[44344400] {2, -100, 2}. Sell at 34.00 (44344363). [5, -171.49].
[44348400] {3, 100, 3}.   Buy at 34.01 (44348391). [6, -205.50].
