[timestamp] {imbalance_prev, dS_prev, imbalance_curr}. Buy/Sell price (timestamp). [Asset, Cash]
[34251800] {3, 900, 3}.   Buy at 439.00 (34251771). [19, -8347.31].
[34252900] {3, 100, 3}.   Buy at 438.94 (34252842). [20, -8786.25].
[34254900] {3, -500, 3}. Sell at 438.77 (34254809). [19, -8347.48].
[34256300] {3, 100, 3}.   Buy at 438.94 (34256300). [20, -8786.42].
[34259600] {2, 100, 2}.   Buy at 439.00 (34259581). [21, -9225.42].
[34259800] {1, 300, 1}.   Buy at 439.00 (34259788). [22, -9664.42].
[34259900] {1, 200, 1}.   Buy at 439.01 (34259877). [23, -10103.43].
[34262300] {1, -100, 1}. Sell at 438.86 (34262219). [22, -9664.57].
[34262700] {1, 400, 1}.   Buy at 439.01 (34262700). [23, -10103.58].
[34263400] {1, 100, 1}.   Buy at 439.16 (34263396). [24, -10542.74].
[34263500] {1, 800, 1}.   Buy at 439.16 (34263500). [25, -10981.90].
[34263700] {1, 800, 1}.   Buy at 439.16 (34263700). [26, -11421.06].
[34263900] {1, -2000, 1}. Sell at 438.87 (34263891). [25, -10982.19].
[34264000] {1, -700, 1}. Sell at 438.80 (34263998). [24, -10543.39].
[34264300] {2, -500, 2}. Sell at 438.82 (34264274). [23, -10104.57].
[34264700] {2, 1300, 2}.   Buy at 439.06 (34264672). [24, -10543.63].
[34265100] {2, 100, 2}.   Buy at 439.16 (34265097). [25, -10982.79].
[34266900] {3, 500, 3}.   Buy at 439.40 (34266896). [26, -11422.19].
[34267300] {3, 100, 3}.   Buy at 439.40 (34267278). [27, -11861.59].
[34267500] {3, -400, 3}. Sell at 439.07 (34267466). [26, -11422.52].
[34267700] {3, 300, 3}.   Buy at 439.40 (34267700). [27, -11861.92].
[34270900] {2, 100, 2}.   Buy at 439.36 (34270879). [28, -12301.28].
[34271300] {2, 400, 2}.   Buy at 439.40 (34271296). [29, -12740.68].
[34272000] {3, 100, 3}.   Buy at 439.49 (34272000). [30, -13180.17].
[34273700] {2, -1300, 2}. Sell at 439.26 (34273697). [29, -12740.91].
[34275900] {2, 100, 2}.   Buy at 439.44 (34275858). [30, -13180.35].
[34278700] {3, 400, 3}.   Buy at 439.43 (34278661). [31, -13619.78].
[34279700] {2, 500, 2}.   Buy at 439.49 (34279666). [32, -14059.27].
