[timestamp] {imbalance_prev, dS_prev, imbalance_curr}. Buy/Sell price (timestamp). [Asset, Cash]
[35164800] {2, 200, 2}.   Buy at 110.43 (35164731). [1, -119.67].
[35173600] {2, -200, 2}. Sell back long 1 at 110.42 (35173416). [0, -9.25].
[35173600] {2, -200, 2}. Sell at 110.42 (35173416). [-1, 101.17].
[35176000] {2, 100, 2}. Buy back short -1 at 110.49 (35175962). [0, -9.32].
[35176000] {2, 100, 2}.   Buy at 110.49 (35175962). [1, -119.81].
[35177600] {2, 200, 2}.   Buy at 110.49 (35177526). [2, -230.30].
[35182400] {2, 100, 2}.   Buy at 110.48 (35182391). [3, -340.78].
[35187200] {2, 300, 2}.   Buy at 110.53 (35187195). [4, -451.31].
[35195200] {2, -300, 2}. Sell back long 4 at 110.47 (35195200). [0, -9.43].
[35195200] {2, -300, 2}. Sell at 110.47 (35195200). [-1, 101.04].
[35197600] {2, -300, 2}. Sell at 110.44 (35197271). [-2, 211.48].
[35204000] {2, 100, 2}. Buy back short -2 at 110.49 (35203816). [0, -9.50].
[35204000] {2, 100, 2}.   Buy at 110.49 (35203816). [1, -119.99].
[35208000] {2, 100, 2}.   Buy at 110.50 (35207965). [2, -230.49].
[35209600] {2, 200, 2}.   Buy at 110.55 (35209503). [3, -341.04].
[35216000] {2, -200, 2}. Sell back long 3 at 110.50 (35215994). [0, -9.54].
[35216000] {2, -200, 2}. Sell at 110.50 (35215994). [-1, 100.96].
[35218400] {2, -100, 2}. Sell at 110.50 (35218339). [-2, 211.46].
[35220000] {1, -100, 1}. Sell at 110.49 (35219702). [-3, 321.95].
[35220800] {1, -100, 1}. Sell at 110.48 (35220717). [-4, 432.43].
[35221600] {1, -100, 1}. Sell at 110.47 (35221517). [-5, 542.90].
[35223200] {1, -100, 1}. Sell at 110.46 (35223200). [-6, 653.36].
[35240000] {1, -100, 1}. Sell at 110.43 (35239927). [-7, 763.79].
[35243200] {2, 200, 2}. Buy back short -7 at 110.50 (35243082). [0, -9.71].
[35243200] {2, 200, 2}.   Buy at 110.50 (35243082). [1, -120.21].
[35248000] {2, 400, 2}.   Buy at 110.55 (35247966). [2, -230.76].
[35253600] {2, 200, 2}.   Buy at 110.55 (35253351). [3, -341.31].
[35258400] {2, -200, 2}. Sell back long 3 at 110.50 (35258381). [0, -9.81].
[35258400] {2, -200, 2}. Sell at 110.50 (35258381). [-1, 100.69].
[35260800] {2, -300, 2}. Sell at 110.46 (35260746). [-2, 211.15].
[35295200] {2, 100, 2}. Buy back short -2 at 110.51 (35295126). [0, -9.87].
[35295200] {2, 100, 2}.   Buy at 110.51 (35295126). [1, -120.38].
[35299200] {2, 100, 2}.   Buy at 110.55 (35299175). [2, -230.93].
[35307200] {2, 100, 2}.   Buy at 110.53 (35307023). [3, -341.46].
[35310400] {2, 100, 2}.   Buy at 110.57 (35310344). [4, -452.03].
[35313600] {2, 100, 2}.   Buy at 110.56 (35313562). [5, -562.59].
[35331200] {1, -500, 1}. Sell back long 5 at 110.48 (35331200). [0, -10.19].
[35331200] {1, -500, 1}. Sell at 110.48 (35331200). [-1, 100.29].
[35336800] {1, 200, 1}. Buy back short -1 at 110.53 (35336717). [0, -10.24].
[35336800] {1, 200, 1}.   Buy at 110.53 (35336717). [1, -120.77].
[35351200] {2, 100, 2}.   Buy at 110.56 (35351175). [2, -231.33].
[35352000] {2, -100, 2}. Sell back long 2 at 110.54 (35351895). [0, -10.25].
[35352000] {2, -100, 2}. Sell at 110.54 (35351895). [-1, 100.29].
[35358400] {2, 100, 2}. Buy back short -1 at 110.56 (35358348). [0, -10.27].
[35358400] {2, 100, 2}.   Buy at 110.56 (35358348). [1, -120.83].
[35368000] {1, -100, 1}. Sell back long 1 at 110.48 (35367966). [0, -10.35].
[35368000] {1, -100, 1}. Sell at 110.48 (35367966). [-1, 100.13].
[35368800] {1, -100, 1}. Sell at 110.47 (35368796). [-2, 210.60].
[35388800] {2, 600, 2}. Buy back short -2 at 110.52 (35388631). [0, -10.44].
[35388800] {2, 600, 2}.   Buy at 110.52 (35388631). [1, -120.96].
[35411200] {1, -100, 1}. Sell back long 1 at 110.50 (35411112). [0, -10.46].
[35411200] {1, -100, 1}. Sell at 110.50 (35411112). [-1, 100.04].
[35412800] {2, -100, 2}. Sell at 110.48 (35412724). [-2, 210.52].
