[timestamp] {imbalance_prev, dS_prev, imbalance_curr}. Buy/Sell price (timestamp). [Asset, Cash]
[34983600] {2, 100, 2}.   Buy at 38.43 (34983249). [15, -576.45].
[34999200] {2, 100, 2}.   Buy at 38.44 (34999178). [16, -614.89].
[35020800] {2, 100, 2}.   Buy at 38.44 (35020431). [17, -653.33].
[35046600] {2, -200, 2}. Sell at 38.41 (35046538). [16, -614.92].
[35061600] {2, -100, 2}. Sell at 38.39 (35061529). [15, -576.53].
[35062800] {2, -100, 2}. Sell at 38.38 (35062788). [14, -538.15].
[35128200] {1, -100, 1}. Sell at 38.41 (35128149). [13, -499.74].
[35280600] {2, -100, 2}. Sell at 38.41 (35280298). [12, -461.33].
[35334000] {2, -200, 2}. Sell at 38.43 (35333837). [11, -422.90].
[35370000] {2, 100, 2}.   Buy at 38.46 (35369675). [12, -461.36].
[35429400] {1, -100, 1}. Sell at 38.43 (35429400). [11, -422.93].
[35449200] {3, 100, 3}.   Buy at 38.47 (35448731). [12, -461.40].
[35458200] {1, -100, 1}. Sell at 38.45 (35458082). [11, -422.95].
[35644200] {2, 100, 2}.   Buy at 38.50 (35644088). [12, -461.45].
[35644800] {2, 100, 2}.   Buy at 38.50 (35644633). [13, -499.95].
[35647200] {2, 100, 2}.   Buy at 38.51 (35646771). [14, -538.46].
[35672400] {2, -100, 2}. Sell at 38.49 (35672240). [13, -499.97].
[35946000] {1, -200, 1}. Sell at 38.50 (35945579). [12, -461.47].
[36073800] {2, 100, 2}.   Buy at 38.51 (36073769). [13, -499.98].
[36090000] {1, -100, 1}. Sell at 38.50 (36089903). [12, -461.48].
[36106200] {1, -200, 1}. Sell at 38.48 (36106171). [11, -423.00].
[36172200] {2, 100, 2}.   Buy at 38.51 (36172069). [12, -461.51].
[36204000] {2, -200, 2}. Sell at 38.48 (36203991). [11, -423.03].
[36394200] {1, -100, 1}. Sell at 38.49 (36394170). [10, -384.54].
[36402000] {1, -200, 1}. Sell at 38.48 (36401480). [9, -346.06].
[36404400] {1, -100, 1}. Sell at 38.48 (36404391). [8, -307.58].
[36505200] {2, 100, 2}.   Buy at 38.51 (36505140). [9, -346.09].
[36796800] {1, -200, 1}. Sell at 38.45 (36796784). [8, -307.64].
[36892800] {2, 200, 2}.   Buy at 38.51 (36892775). [9, -346.15].
[37043400] {2, 200, 2}.   Buy at 38.53 (37043340). [10, -384.68].
[37044000] {2, -200, 2}. Sell at 38.50 (37043810). [9, -346.18].
[37063200] {2, 100, 2}.   Buy at 38.53 (37062988). [10, -384.71].
[37453200] {2, -200, 2}. Sell at 38.53 (37452975). [9, -346.18].
[37476600] {1, -100, 1}. Sell at 38.53 (37476555). [8, -307.65].
[37729200] {1, -200, 1}. Sell at 38.55 (37728782). [7, -269.10].
[37749000] {1, -200, 1}. Sell at 38.54 (37748886). [6, -230.56].
[37852800] {1, -100, 1}. Sell at 38.55 (37852682). [5, -192.01].
[38185800] {1, -200, 1}. Sell at 38.58 (38185680). [4, -153.43].
[38217000] {1, -200, 1}. Sell at 38.60 (38216689). [3, -114.83].
[38288400] {2, -100, 2}. Sell at 38.59 (38288211). [2, -76.24].
[38390400] {2, 100, 2}.   Buy at 38.64 (38390330). [3, -114.88].
[38444400] {1, -200, 1}. Sell at 38.62 (38444286). [2, -76.26].
[38480400] {1, -200, 1}. Sell at 38.62 (38480146). [1, -37.64].
[38515200] {2, 100, 2}.   Buy at 38.63 (38515137). [2, -76.27].
[38597400] {1, -100, 1}. Sell at 38.58 (38597069). [1, -37.69].
[38619600] {1, -100, 1}. Sell at 38.56 (38619373). [0, 0.87].
[38620800] {2, -100, 2}. Sell at 38.56 (38620749). [-1, 39.43].
[38639400] {2, 100, 2}.   Buy at 38.56 (38639356). [0, 0.87].
[38644200] {2, -100, 2}. Sell at 38.54 (38643777). [-1, 39.41].
[38672400] {1, -100, 1}. Sell at 38.52 (38672363). [-2, 77.93].
[38700600] {2, 200, 2}.   Buy at 38.54 (38700417). [-1, 39.39].
[38727000] {2, 100, 2}.   Buy at 38.55 (38726987). [0, 0.84].
[38781600] {3, 100, 3}.   Buy at 38.56 (38781196). [1, -37.72].
[38863200] {2, 100, 2}.   Buy at 38.57 (38863200). [2, -76.29].
[38889000] {2, 100, 2}.   Buy at 38.58 (38888986). [3, -114.87].
[38971200] {2, -100, 2}. Sell at 38.55 (38971191). [2, -76.32].
[39025200] {2, 100, 2}.   Buy at 38.58 (39025088). [3, -114.90].
